algo_name,frames,faults,hits,evictions,hit_rate,fault_rate
WorkingSet,12,178,622,166,0.777500,0.222500
WorkingSet,21,139,661,118,0.826250,0.173750
WorkingSet,30,115,685,85,0.856250,0.143750
WorkingSet,39,89,711,50,0.888750,0.111250
WorkingSet,48,65,735,17,0.918750,0.081250
WSClock,12,180,620,168,0.775000,0.225000
WSClock,21,137,663,116,0.828750,0.171250
WSClock,30,118,682,88,0.852500,0.147500
WSClock,39,85,715,46,0.893750,0.106250
WSClock,48,63,737,15,0.921250,0.078750
LRU,12,178,622,166,0.777500,0.222500
LRU,21,139,661,118,0.826250,0.173750
LRU,30,115,685,85,0.856250,0.143750
LRU,39,89,711,50,0.888750,0.111250
LRU,48,65,735,17,0.918750,0.081250
Ótimo,12,131,669,119,0.836250,0.163750
Ótimo,21,90,710,69,0.887500,0.112500
Ótimo,30,72,728,42,0.910000,0.090000
Ótimo,39,59,741,20,0.926250,0.073750
Ótimo,48,56,744,8,0.930000,0.070000
